0.00000000000000000e+00   5.08790093582170818e-19   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00
1.00501670841679491e-02   5.02659906194512809e-19   8.89667906276942976e+06   4.24775335862169086e+04   3.55427741961176571e+03   5.27981739500244629e+00   4.97082837753003478e+04   3.56960364698730473e+03   5.27981739500244629e+00
2.02013400267557763e-02   4.96430886265692120e-19   3.59607336581816226e+07   1.70692292301869718e+05   1.41107594764014284e+04   1.99690088960058389e+01   1.99622291667406826e+05   1.41709694658005501e+04   1.99690088960058389e+01
3.04545339535169379e-02   4.90122472091380943e-19   8.17489966636378020e+07   3.85695485926791793e+05   3.14941899832209892e+04   4.24185633038566152e+01   4.50780792882489390e+05   3.16272373267448893e+04   4.24185633038566152e+01
4.08107741923882106e-02   4.83724622872038263e-19   1.46811890658219844e+08   6.88360622487365035e+05   5.55066518505269269e+04   7.10760957887417817e+01   8.04011590385194635e+05   5.57389278632760179e+04   7.10760957887417817e+01
5.12710963760241167e-02   4.77239199256700086e-19   2.31692394182664007e+08   1.07937661332716513e+06   8.59285510032839520e+04   1.04494855248086807e+02   1.25992483811838040e+06   8.62849343187908526e+04   1.04494855248086807e+02
6.18365465453596386e-02   4.70667583156813503e-19   3.36924999111343622e+08   1.55923737947895122e+06   1.22518762262572069e+05   1.41336607435992448e+02   1.81890186089196778e+06   1.23022669007350836e+05   1.41336607435992448e+02
7.25081812542163195e-02   4.64015794837865188e-19   4.63034662310501516e+08   2.12824262631586147e+06   1.65017394032719283e+05   1.80383860217511597e+02   2.48109823422236415e+06   1.65690841961470898e+05   1.80383860217511597e+02
8.32870676749586369e-02   4.57282130185417720e-19   6.10535754880608678e+08   2.78646905063244142e+06   2.13141721697502740e+05   2.20521693864447542e+02   3.24640916170942737e+06   2.14005367366113060e+05   2.20521693864447542e+02
9.41742837052104154e-02   4.50475768311618387e-19   7.79931012389587402e+08   3.53380431539499015e+06   2.66596411493825028e+05   2.60775467605986421e+02   4.11451466851880355e+06   2.67669638732129242e+05   2.60775467605986421e+02
1.05170918075647490e-01   4.43585168338339043e-19   9.71710489596384048e+08   4.36983630778489076e+06   3.25051686682994477e+05   3.00226993731412449e+02   5.08474151857914124e+06   3.26352573682544811e+05   3.00226993731412449e+02
1.16278070458871285e-01   4.36622030307077249e-19   1.18635052323980618e+09   5.29399855700410809e+06   3.88177855651944818e+05   3.38135964904635273e+02   6.15624917491770908e+06   3.89723316438234819e+05   3.38135964904635273e+02
1.27496851579375736e-01   4.29581340302626728e-19   1.42431270652449512e+09   6.30540334784892853e+06   4.55611814646406099e+05   3.73816911450270254e+02   7.32782127107843012e+06   4.57417560475368286e+05   3.73816911450270254e+02
1.38828383324621774e-01   4.22476015556051948e-19   1.68604287897324610e+09   7.40302831837746035e+06   5.26998541545860702e+05   4.06765090045079830e+02   8.59810180794075690e+06   5.29079234964341740e+05   4.06765090045079830e+02
1.50273798857227137e-01   4.15300905523276150e-19   1.97197013533212185e+09   8.58547219430984370e+06   6.01943186798500363e+05   4.36501849166120849e+02   9.96529099784725904e+06   6.04312357825561310e+05   4.36501849166120849e+02
1.61834242728283062e-01   4.08061680986996321e-19   2.28250585721052408e+09   9.85115328231547214e+06   6.80054064461818547e+05   4.62694966938024606e+02   1.14273955059682708e+07   6.82724217740701744e+05   4.62694966938024606e+02
1.73510870991810284e-01   4.00754361001679412e-19   2.61804277111307907e+09   1.11981100266312528e+07   7.60905917753458256e+05   4.85051464420178377e+02   1.29819821016289424e+07   7.63888465772493160e+05   4.85051464420178377e+02
1.85304851320365449e-01   3.93398805669059542e-19   2.97895403647207642e+09   1.26244366086990070e+07   8.44124085724001518e+05   5.03507006533435856e+02   1.46267182749617584e+07   8.47429621409260901e+05   5.03507006533435856e+02
1.97217363121810152e-01   3.85984984384508696e-19   3.36559236721994448e+09   1.41275541049541421e+07   9.29249793817890459e+05   5.17899925305473630e+02   1.63584722362059634e+07   9.32887791080640396e+05   5.17899925305473630e+02
2.09249597657251485e-01   3.78517009772122826e-19   3.77828919034864616e+09   1.57047839534342382e+07   1.01585052848638210e+06   5.28223303074966793e+02   1.81740243143155612e+07   1.01982949198390683e+06   5.28223303074966793e+02
2.21402758160169855e-01   3.71002268436166566e-19   4.21735384478948116e+09   1.73532544836063683e+07   1.10350244558792398e+06   5.34560210750147576e+02   2.00699510031062514e+07   1.10782996487242309e+06   5.34560210750147576e+02
2.33678059956743178e-01   3.63442211861848359e-19   4.68307282381115913e+09   1.90697038209880106e+07   1.19175783897465141e+06   5.37012155353336652e+02   2.20423846754554994e+07   1.19644050709906081e+06   5.37012155353336652e+02
2.46076730587380776e-01   3.55840762272164905e-19   5.17570906397787189e+09   2.08506433348758183e+07   1.28017572640892840e+06   5.35747832618766893e+02   2.40872153474927284e+07   1.28521916390965413e+06   5.35747832618766893e+02
2.58600009929478070e-01   3.48210342922127516e-19   5.69550128353235435e+09   2.26925953590602130e+07   1.36836016477213171e+06   5.31041423380127071e+02   2.62003790411437787e+07   1.37376916088842507e+06   5.31041423380127071e+02
2.71249150321404731e-01   3.40544633198653310e-19   6.24266337287477112e+09   2.45912445386043005e+07   1.45582527495230548e+06   5.23065404051616042e+02   2.83768283760403134e+07   1.46160344570608018e+06   5.23065404051616042e+02
