0.00000000000000000e+00   5.21938831444774780e-19   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00
1.00501670841679491e-02   5.15712518858478410e-19   8.79933156010584719e+06   4.18771781404214344e+04   3.66509435348778106e+03   6.14209864975374309e+00   4.90339602978691619e+04   3.68132128867642450e+03   6.14209864975374309e+00
2.02013400267557763e-02   5.09383516628869840e-19   3.51728782616825998e+07   1.66425468380606879e+05   1.43897425647086748e+04   2.29693669444373718e+01   1.94734371923423663e+05   1.44526649922504603e+04   2.29693669444373718e+01
3.04545339535169379e-02   5.02967338067261402e-19   7.90717681714929193e+07   3.71909995444691624e+05   3.17613263024465996e+04   4.82422008697691069e+01   4.34874266209121561e+05   3.18985645404769020e+04   4.82422008697691069e+01
4.08107741923882106e-02   4.96457833264012047e-19   1.40430204432137430e+08   6.56442363433263148e+05   5.53578378131759600e+04   7.99234928537017453e+01   7.67052454406230594e+05   5.55943257159705390e+04   7.99234928537017453e+01
5.12710963760241167e-02   4.89861336373130984e-19   2.19164275284191936e+08   1.01798268957283639e+06   8.47503103765942797e+04   1.16183762825301599e+02   1.18869768133025523e+06   8.51084641451958742e+04   1.16183762825301599e+02
6.18365465453596386e-02   4.83181657297499919e-19   3.15174825939256191e+08   1.45435448713307828e+06   1.19505100666264334e+05   1.55396059341398171e+02   1.69708684208844183e+06   1.20004986705996911e+05   1.55396059341398171e+02
7.25081812542163195e-02   4.76422078629595625e-19   4.28345520746698618e+08   1.96323860042791557e+06   1.59184602819804684e+05   1.96128642990674393e+02   2.28933885405128822e+06   1.59844097623952694e+05   1.96128642990674393e+02
8.32870676749586369e-02   4.69568283711812363e-19   5.58542296772168636e+08   2.54212834881651029e+06   2.03337801886776753e+05   2.37091280792102054e+02   2.96235819109533774e+06   2.04172682848146884e+05   2.37091280792102054e+02
9.41742837052104154e-02   4.62642549506357882e-19   7.05614766030434608e+08   3.18845696250074822e+06   2.51530351363832538e+05   2.77253673481092790e+02   3.71299792152768373e+06   2.52554551560865599e+05   2.77253673481092790e+02
1.05170918075647490e-01   4.55635120251794788e-19   8.69396042852456212e+08   3.89944824064939329e+06   3.03309880050948821e+05   3.15677107727993587e+02   4.53786915267626010e+06   3.04535521500537696e+05   3.15677107727993587e+02
1.16278070458871285e-01   4.48541818511311116e-19   1.04970245089674211e+09   4.67218127126851305e+06   3.58222876138423861e+05   3.51581131891500604e+02   5.43342509883833304e+06   3.59660393893372675e+05   3.51581131891500604e+02
1.27496851579375736e-01   4.41380481564440826e-19   1.24634291943750215e+09   5.50375242785404436e+06   4.15844528647335945e+05   3.84423066292352644e+02   6.39616175578506477e+06   4.17502926946139254e+05   3.84423066292352644e+02
1.38828383324621774e-01   4.34148069374719699e-19   1.45909493165408921e+09   6.39097788048994355e+06   4.75728490168213786e+05   4.13716820446315296e+02   7.42225240802940540e+06   4.77615325438460335e+05   4.13716820446315296e+02
1.50273798857227137e-01   4.26847310964884120e-19   1.68772525727594447e+09   7.33060319170730840e+06   5.37440627238585730e+05   4.39124928148607353e+02   8.50780395053974912e+06   5.39562146686080960e+05   4.39124928148607353e+02
1.61834242728283062e-01   4.19476758155576308e-19   1.93199751054459858e+09   8.31927342364535853e+06   6.00548643011814100e+05   4.60404273164971187e+02   9.64881647452542186e+06   6.02909855026404723e+05   4.60404273164971187e+02
1.73510870991810284e-01   4.12040274460270561e-19   2.19166307414582443e+09   9.35357286822835356e+06   6.64635984472462093e+05   4.77440297071436703e+02   1.08412369453067575e+07   6.67240782304217340e+05   4.77440297071436703e+02
1.85304851320365449e-01   4.04549007209072649e-19   2.46642433617253447e+09   1.04299356517004166e+07   7.29303102240648586e+05   4.90247904900758215e+02   1.20808604509680383e+07   7.32154376171539188e+05   4.90247904900758215e+02
1.97217363121810152e-01   3.96994691500420279e-19   2.75598551751787996e+09   1.15445419109695852e+07   7.94120919558126014e+05   4.98812712663396610e+02   1.33631835086327363e+07   7.97220450093429885e+05   4.98812712663396610e+02
2.09249597657251485e-01   3.89387477423223212e-19   3.06008962731088829e+09   1.26939275888439398e+07   8.58729851705924375e+05   5.03307614890563627e+02   1.46841481480923947e+07   8.62078610846164636e+05   5.03307614890563627e+02
2.21402758160169855e-01   3.81735489879253465e-19   3.37839507388747406e+09   1.38742605825916901e+07   9.22762509377083858e+05   5.03941582432607788e+02   1.60392851243377682e+07   9.26360622979221633e+05   5.03941582432607788e+02
2.33678059956743178e-01   3.74032034142108431e-19   3.71054553294220591e+09   1.50813691726159770e+07   9.85817695536805200e+05   5.00876978966469210e+02   1.74237289046235047e+07   9.89664300941708614e+05   5.00876978966469210e+02
2.46076730587380776e-01   3.66288547016094118e-19   4.05619508193526030e+09   1.63114394032299928e+07   1.04757376021271606e+06   4.94435507324637399e+02   1.88330669887456261e+07   1.05166729346550582e+06   4.94435507324637399e+02
2.58600009929478070e-01   3.58503367051849618e-19   4.41507053296763420e+09   1.75606794836539961e+07   1.10770046741236676e+06   4.84892160807476955e+02   2.02629094646728598e+07   1.11203860323401075e+06   4.84892160807476955e+02
2.71249150321404731e-01   3.50692735045663405e-19   4.78671541395746326e+09   1.88250013684422560e+07   1.16591314195375144e+06   4.72638622681085678e+02   2.17085678798576519e+07   1.17049290663787327e+06   4.72638622681085678e+02
