1.00000000000000000e+00   3.70816179999999994e-07   1.01015328478008300e+08   1.67591178252617379e+00
9.84011105761133709e-01   3.70816179999999994e-07   5.78360201495846923e+03   1.66154034956812535e+00
9.68277856261249181e-01   3.70816179999999994e-07   1.51067635512791162e+03   1.64703033406368493e+00
9.52796164023651859e-01   3.70816179999999994e-07   6.90878834736629983e+02   1.63238726329889294e+00
9.37562006925880209e-01   3.70816179999999994e-07   3.97151950896877452e+02   1.61761689767979533e+00
9.22571427154763146e-01   3.70816179999999994e-07   2.58672193077088707e+02   1.60272521966360326e+00
9.07820530178185758e-01   3.70816179999999994e-07   1.82278627607947868e+02   1.58771842321973611e+00
8.93305483733295214e-01   3.70816179999999994e-07   1.35595443361369263e+02   1.57260289997612324e+00
8.79022516830884393e-01   3.70816179999999994e-07   1.04935676473710117e+02   1.55738522722332839e+00
8.64967918775693345e-01   3.70816179999999994e-07   8.36912742508777256e+01   1.54207215293935840e+00
8.51138038202376546e-01   3.70816179999999994e-07   6.83486150499372940e+01   1.52667058131310607e+00
8.37529282126882602e-01   3.70816179999999994e-07   5.68968913586181628e+01   1.51118755564335805e+00
8.24138115013002270e-01   3.70816179999999994e-07   4.81166391620339979e+01   1.49563024258102351e+00
8.10961057853840761e-01   3.70816179999999994e-07   4.12327584225804387e+01   1.48000591450257923e+00
7.97994687267976621e-01   3.70816179999999994e-07   3.57330896785419938e+01   1.46432193262918497e+00
7.85235634610071842e-01   3.70816179999999994e-07   3.12679853737124098e+01   1.44858572753840398e+00
7.72680585095702366e-01   3.70816179999999994e-07   2.75920032528420407e+01   1.43280478174258907e+00
7.60326276940181844e-01   3.70816179999999994e-07   2.45286584782169719e+01   1.41698661040372476e+00
7.48169500511154384e-01   3.70816179999999994e-07   2.19483614966699960e+01   1.40113874345357470e+00
7.36207097494736118e-01   3.70816179999999994e-07   1.97541855940464188e+01   1.38526870765166810e+00
7.24435960074990004e-01   3.70816179999999994e-07   1.78724386991920525e+01   1.36938400590086728e+00
7.12853030126519460e-01   3.70816179999999994e-07   1.62462694095868656e+01   1.35349210132402975e+00
7.01455298419971229e-01   3.70816179999999994e-07   1.48312392195811853e+01   1.33760039794724395e+00
6.90239803840241861e-01   3.70816179999999994e-07   1.35921981392518365e+01   1.32171622621067386e+00
6.79203632617184416e-01   3.70816179999999994e-07   1.25010425071846871e+01   1.30584682358868109e+00
6.68343917568614554e-01   3.70816179999999994e-07   1.15350809285386227e+01   1.28999931928770950e+00
6.57657837355420383e-01   3.70816179999999994e-07   1.06758266856938278e+01   1.27418071986012915e+00
6.47142615748583006e-01   3.70816179999999994e-07   9.90809380985250776e+00   1.25839789340310104e+00
6.36795520907915691e-01   3.70816179999999994e-07   9.21931243272079648e+00   1.24265756077821554e+00
6.26613864672335263e-01   3.70816179999999994e-07   8.59900463261410408e+00   1.22696627630331245e+00
6.16595001861481973e-01   3.70816179999999994e-07   8.03837904591753905e+00   1.21133042082489939e+00
6.06736329588505208e-01   3.70816179999999994e-07   7.53001446796714635e+00   1.19575618886077994e+00
5.97035286583836755e-01   3.70816179999999994e-07   7.06761072371104504e+00   1.18024958283241466e+00
5.87489352529776521e-01   3.70816179999999994e-07   6.64579094308316431e+00   1.16481640206697024e+00
